,Title,Author,Year,Rating,Raters,Genres
828,"The Young Elites (The Young Elites, #1)",Marie Lu,2014,3.88,128329,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Fantasy,Science Fiction,Fantasy,Fantasy"
829,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,2019,4.23,87946,"Fantasy,Science Fiction,LGBT,Fiction,Horror,LGBT,Adult,LGBT,Mystery,Audiobook"
832,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,2020,4.43,81972,"Fantasy,Young Adult,Romance,Historical,Young Adult,Fantasy,Fantasy,Historical,Fiction,LGBT"
833,A Beautiful Mind (Paperback),Sylvia Nasar,1998,4.13,130012,"Biography,Nonfiction,Psychology,Science,Science,History,Biography Memoir,Health,Media Tie In,Autobiography"
834,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,2021,3.54,122371,"Romance,Fantasy,Fiction,Fantasy,Contemporary,Paranormal,Adult,Audiobook,Fantasy,Romance"
835,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,1993,4.21,125362,"Fiction,Science Fiction,Science Fiction,Fantasy,Apocalyptic,Classics,Speculative Fiction,Science Fiction Fantasy,Audiobook,Novels"
836,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,2022,3.95,52756,"Romance,Contemporary,Romance,Fiction,Adult,Womens Fiction,New Adult,Audiobook,Adult Fiction"
837,Without Merit (Kindle Edition),Colleen Hoover,2017,3.83,140354,"Romance,Young Adult,Contemporary,Fiction,New Adult,Audiobook,Health,Romance,Family,Mental Health"
838,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,2016,3.82,99684,"Fantasy,Young Adult,Young Adult,Fiction,Romance,Fantasy,Fantasy,Audiobook,Young Adult,Science Fiction Fantasy"
839,Still Alice (Paperback),Lisa Genova,2007,4.31,325058,"Fiction,Contemporary,Psychology,Book Club,Adult Fiction,Adult,Audiobook,Medical,Realistic Fiction,Drama"
840,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,2014,4.42,334413,"Fantasy,Young Adult,Science Fiction,Romance,Retellings,Science Fiction,Fiction,Fantasy,Audiobook,Adventure"
841,Can't Hurt Me: Master Your Mind and Defy the Odds (Kindle Edition),David Goggins,2018,4.36,145784,"Nonfiction,Self Help,Biography,Self Help,Psychology,Audiobook,Autobiography,Biography,Leadership,War"
842,Can't Hurt Me: Master Your Mind and Defy the Odds (Kindle Edition),David Goggins,2018,4.36,145784,"Nonfiction,Self Help,Biography,Self Help,Psychology,Audiobook,Autobiography,Biography,Leadership,War"
843,The Sandman Vol. 1: Preludes & Nocturnes (Hardcover),Neil Gaiman,1988,4.24,249724,"Sequential Art,Sequential Art,Fantasy,Fiction,Horror,Graphic Novels Comics,Comics,Fantasy,Fantasy,Adult"
844,From Lukov with Love (Paperback),Mariana Zapata,2018,4.33,158010,"Romance,Contemporary,Contemporary Romance,Sports,Romance,New Adult,Adult,Fiction,Audiobook,Humor"
845,"Winter (The Lunar Chronicles, #4)",Marissa Meyer,2015,4.43,248016,"Fantasy,Young Adult,Science Fiction,Romance,Retellings,Science Fiction,Fiction,Fantasy,Audiobook,Adventure"
846,"Where She Went (If I Stay, #2)",Gayle Forman,2011,3.99,283056,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Music,New Adult,Young Adult,Audiobook,Young Adult"
847,Wall and Piece (Paperback),Banksy,2005,3.85,220143,"Art,Nonfiction,Politics,Art,Art,Art,Design,Art,Reference,Art"
848,1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,2005,4.03,80373,"History,Nonfiction,North American Hi...,Anthropology,Science,Historical,History,Audiobook,Literature,History"
849,Sometimes I Lie (Paperback),Alice Feeney,2017,3.81,148677,"Thriller,Mystery,Fiction,Thriller,Audiobook,Suspense,Thriller,Adult,Mystery,Contemporary"
